date,site,Sector,Band,traffic_gb,PRB,availability,Lat,Lon
5/25/2025,RAYA_RAJEG_PL,1,L18,217.35,69.99,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,2,L18,214.59,81.85,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,3,L18,55.99,26.38,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,1,L9,27.01,21.49,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,2,L9,55.66,36.62,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,3,L9,19.22,21.2,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,1,L21,203.61,73.78,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,2,L21,214.54,82.51,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,3,L21,35.45,19.91,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,1,L18,105.08,61.5,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,2,L18,132.95,73.58,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,3,L18,13.35,18.02,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,1,L18,263.66,78.38,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,2,L18,134.99,42.57,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,1,L21,250.4,79.35,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,2,L21,90.03,38.59,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,1,L18,90.09,63.42,100,106.53101,-6.15176
5/25/2025,RAYA_RAJEG_PL,2,L18,23.87,24.08,100,106.53101,-6.15176
5/25/2025,TAMANWALET_JK,1,L18,120.71,41.32,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,2,L18,144.57,67.2,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,3,L18,48.38,17.32,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,1,L21,56.71,28.85,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,2,L21,120.07,51.84,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,3,L21,18.88,11.22,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,1,L9,71.32,36.77,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,2,L9,48.48,43.14,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,3,L9,23.95,20.52,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,1,L18,37.77,23.41,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,2,L18,55.41,50.84,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,3,L18,2.28,7.68,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,1,L21,45.47,26.3,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,2,L21,126.86,54.82,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,3,L21,18.58,14.47,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,1,L18,200.09,77.25,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,1,L21,220.49,77,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,1,L18,149.49,71.49,100,106.53127,-6.14207
5/25/2025,TAMANWALET_JK,1,L21,175.05,67.9,100,106.53127,-6.14207
5/25/2025,PANGADEGAN_TGN_TGN1_EP,1,L18,115.5,48.48,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,2,L18,141.63,80.38,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,3,L18,100.06,55.37,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,1,L9,54.4,46.3,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,2,L9,86.86,66.69,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,3,L9,27.36,33.15,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,1,L21,69.47,41.07,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,2,L21,137.02,75.58,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,3,L21,81.43,55.55,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,1,L18,54.13,51.91,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,2,L18,102.7,71.59,100,106.55653,-6.14685
5/25/2025,PANGADEGAN_TGN_TGN1_EP,3,L18,39.5,40.25,100,106.55653,-6.14685
5/25/2025,ESTEORAJEG_GT,1,L18,197.07,60.69,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,2,L18,196.54,74.35,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,3,L18,187.93,58.55,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,1,L21,118.49,49.12,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,2,L21,184.91,70.7,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,3,L21,205.35,58.59,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,1,L9,89.08,47.57,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,2,L9,107.96,61.9,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,3,L9,64.34,34.19,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,1,L18,46.2,36.16,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,2,L18,72.76,57.94,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,3,L18,54.71,37.82,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,1,L21,57.92,32.78,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,2,L21,117.93,56.37,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,3,L21,105.01,42.8,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,1,L18,189.26,64.63,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,2,L18,251.23,73.93,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,1,L21,156.11,60.87,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,2,L21,177.24,67.74,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,1,L18,62.49,47.47,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,2,L18,71.91,54.41,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,1,L21,104.11,48.35,100,106.53333,-6.12031
5/25/2025,ESTEORAJEG_GT,2,L21,120.45,54.24,100,106.53333,-6.12031
5/25/2025,BARITOTIGA_GH,1,L18,177.99,51.28,100,106.56297,-6.14764
5/25/2025,BARITOTIGA_GH,2,L18,157.21,52.39,100,106.56297,-6.14764
